Model,AUC
1000010011110.pth,0.906952675
0011100000111.pth,0.903807127
1011010000101.pth,0.903238899
1000011000111.pth,0.903198312
1010110010100.pth,0.902833022
0001010001111.pth,0.902731553
1001000110101.pth,0.902143031
1001000011110.pth,0.901290689
0011010001110.pth,0.900478935
1010010010101.pth,0.900113646
0001100001111.pth,0.899870119
0010110001110.pth,0.897678383
0011000110110.pth,0.897637795
1101000010101.pth,0.897373975
1011100000101.pth,0.896826041
1000101000111.pth,0.896785453
0011001000111.pth,0.896440458
0011011000110.pth,0.895770761
1001010100101.pth,0.895628704
1111000000110.pth,0.895019888
1001000101101.pth,0.893842844
1101010001100.pth,0.893132559
0000110001111.pth,0.892523744
1010001010101.pth,0.892422275
0101011000110.pth,0.892341099
1000001110110.pth,0.892320805
1101011000100.pth,0.891752577
1000110011100.pth,0.891671402
1011000100101.pth,0.891569933
0010001010111.pth,0.891468463
1000000111110.pth,0.891062586
1100100010110.pth,0.890839354
0010010110110.pth,0.890758178
1001110001100.pth,0.890372595
0000100011111.pth,0.89018995
1101000001110.pth,0.889885543
0000010111101.pth,0.889033201
0010100010111.pth,0.888180859
1001001001110.pth,0.888160565
1100110010100.pth,0.887572043
0001100110110.pth,0.887348811
1000000111101.pth,0.88576589
0010110010101.pth,0.885725302
1000110101100.pth,0.885400601
0011010010101.pth,0.884913548
1110100010100.pth,0.884832373
0110000110101.pth,0.884548259
1001010101100.pth,0.884325026
0001001011110.pth,0.883898855
0001011001101.pth,0.883878562
0100001001111.pth,0.883878562
0111000100101.pth,0.883574154
1100001100101.pth,0.8827624
1110000101100.pth,0.881118597
1001011100100.pth,0.880956246
0010011010110.pth,0.880733014
1101101000100.pth,0.880428606
0110000011110.pth,0.878541278
0100110101100.pth,0.877851287
1000101001110.pth,0.877688936
0110000011101.pth,0.87655248
0001010111100.pth,0.875010147
0100101001101.pth,0.874888384
0010011010101.pth,0.874786915
0101100011100.pth,0.87423898
1000101110100.pth,0.873833103
0001100110101.pth,0.873467814
0010011110100.pth,0.87255459
0101100100110.pth,0.872311064
0110010011100.pth,0.872270476
0000110101101.pth,0.87149931
0100101010101.pth,0.871458722
0110001010110.pth,0.871255784
1010001101100.pth,0.870809319
0101001010101.pth,0.87007874
0111100100100.pth,0.87007874
0101100010101.pth,0.86892199
0010001100111.pth,0.868597289
0101011001100.pth,0.867054956
0011100101100.pth,0.866872311
0101110100100.pth,0.866304083
0100110100110.pth,0.864842926
0001101100110.pth,0.864031171
0101000111100.pth,0.863990584
0101001100110.pth,0.862306194
1000111100100.pth,0.860946505
0101101001100.pth,0.859911519
0001110101100.pth,0.859870931
0100001011101.pth,0.857943015
0001101100101.pth,0.857882133
0010101101100.pth,0.854066889
0010001111100.pth,0.851489569
1100000011011.pth,0.760694862
1100010001011.pth,0.759436643
1100001010011.pth,0.748822956
1110000010011.pth,0.747321211
1110001010010.pth,0.742328923
1100010110010.pth,0.742186866
1100000111010.pth,0.739041318
1101000110010.pth,0.734962253
1101010100010.pth,0.734292556
1011000011010.pth,0.733683741
1000010011011.pth,0.732750223
1000000111011.pth,0.732161701
1101110000010.pth,0.728529101
1100010101010.pth,0.728042049
1010010001011.pth,0.726682361
1001010010011.pth,0.724145629
1100100100011.pth,0.721750954
1110010100010.pth,0.720898612
1110000101010.pth,0.720817436
1111010010000.pth,0.717448657
1100101010010.pth,0.716778959
0110000111010.pth,0.712639013
1001110010010.pth,0.711969316
1110100100010.pth,0.708478773
1011100010010.pth,0.707545255
1111000110000.pth,0.707504668
1011100001010.pth,0.704521471
1110001010001.pth,0.704217063
1000100110011.pth,0.703608247
1110100110000.pth,0.702025327
1101001100010.pth,0.699549476
1111001010000.pth,0.696728631
1100101100010.pth,0.696728631
0100001011011.pth,0.695693644
1100110010001.pth,0.695166004
1101110010000.pth,0.695003653
1110100001001.pth,0.694658657
1000111010010.pth,0.693786022
1011000100011.pth,0.693136618
0100011001011.pth,0.693116324
1101100001001.pth,0.692791623
0100010111010.pth,0.691979868
0101000110011.pth,0.691533404
0110010100011.pth,0.690031658
1101011000001.pth,0.689950483
1111001001000.pth,0.686642585
1010101000011.pth,0.686155532
1110101010000.pth,0.684430554
1100011011000.pth,0.684288497
1100100110001.pth,0.68398409
1010110011000.pth,0.683233217
1101100101000.pth,0.680229726
0110110000011.pth,0.678464161
1111001100000.pth,0.677733582
0110001110010.pth,0.677226236
1101001100001.pth,0.676942122
0100111001010.pth,0.676739183
1100100101001.pth,0.676394188
0100101010011.pth,0.676049192
0100011010011.pth,0.675947723
0100100101011.pth,0.673938631
1110001101000.pth,0.673735693
0101100100011.pth,0.672680412
1010011110000.pth,0.672599237
1010110100010.pth,0.67219336
0110010011001.pth,0.672173066
1100101110000.pth,0.670711908
0010000111011.pth,0.66571962
1100111001000.pth,0.664380226
1011010011000.pth,0.663791704
1001011100010.pth,0.662736423
1011110010000.pth,0.661315854
0101100110010.pth,0.659712639
1001101011000.pth,0.653989772
1001001011001.pth,0.653725952
0101001101010.pth,0.6522445
0101011100010.pth,0.648388668
0011010011010.pth,0.646440458
0111001100010.pth,0.64471548
1000101011001.pth,0.642746976
0110001111000.pth,0.641630814
0111101010000.pth,0.641224937
0010110010011.pth,0.639499959
0000111011010.pth,0.637592337
0101011001001.pth,0.636212355
0100011110001.pth,0.635989122
0110110110000.pth,0.635664421
1011010100001.pth,0.6327624
0011001010011.pth,0.632681224
1010101100001.pth,0.631625944
0010110101010.pth,0.627912168
0100001111001.pth,0.626938063
1010111000001.pth,0.626674243
0000001111011.pth,0.625700138
0101100111000.pth,0.625375436
0101011010001.pth,0.623914279
1011001001001.pth,0.623488108
0110101110000.pth,0.623264875
0010101010011.pth,0.621316665
0011100110010.pth,0.619388749
0100111001001.pth,0.617014368
0101001101001.pth,0.615837324
0011001001011.pth,0.612468545
0101101100001.pth,0.601996915
0010110011001.pth,0.597633737
0010111011000.pth,0.593777904
0011110000011.pth,0.593006738
0101101101000.pth,0.585254485
1001111001000.pth,0.58285981
0010110111000.pth,0.581662473
0011100111000.pth,0.579551912
0000111101010.pth,0.576710772
0011011110000.pth,0.569181752
0010011111000.pth,0.567882945
0011111001000.pth,0.555422518
0001111010001.pth,0.552804611
0001010111001.pth,0.551302865
0000011111001.pth,0.548664664
0011101101000.pth,0.541906811
0011001101001.pth,0.534235733
0011011100001.pth,0.530866953
0001011101001.pth,0.478671158
